country,Ambulance Number
algeria,14
angola,116
ascension island,999
benin,112
burundi,112
botswana,997
burkina faso,112
cameroon,112
cape verde,130
central african republic,1220
chad,22514242
comoros,7720373
republic of the congo,117
democratic republic of the congo,112
djibouti,19
egypt,123
equatorial guinea,115
eritrea,114
ethiopia,911
gabon,1300
gambia,116
ghana,112
guinea,18
guinea-bissau,112
ivory coast,185
liberia,911
kenya,911
libya,1515
lesotho,121
madagascar,124
malawi,998
mali,15
mauritius,114
mauritania,101
mayotte,112
morocco,15
mozambique,117
namibia,63297109
nigeria,112
niger,15
réunion,112
rwanda,912
saint helena,999
são tomé and príncipe,112
senegal,18
seychelles,112
sierra leone,999
somalia,999
south africa,10177
sudan,999
south sudan,999
swaziland,977
tanzania,114
togo,8200
tristan da cunha,911
tunisia,190
uganda,911
western sahara,150
zambia,999
zimbabwe,999
antarctica,911
afghanistan,112
bahrain,999
bangladesh,999
bhutan,112
british indian ocean territory,112
brunei,991
myanmar,999
cambodia,119
people's republic of china,120
christmas island,000
cocos islands,000
east timor,112
hong kong,999
india,112
indonesia,112
iran,115
iraq,911
israel,101
japan,119
jordan,911
kazakhstan,112
kyrgyzstan,103
democratic people's republic of korea,911
republic of korea,119
kuwait,112
laos,195
lebanon,140
macau,999
maldives,102
malaysia,999
mongolia,105
nepal,102
oman,9999
pakistan,115
philippines,911
qatar,999
saudi arabia,911
singapore,995
sri lanka,110
syria,110
republic of china (taiwan),119
tajikistan,112
thailand,1669
turkmenistan,112
united arab emirates,999
uzbekistan,101
vietnam,115
yemen,191
akrotiri and dhekelia,112
åland islands,112
albania,127
andorra,116
armenia,112
austria,144
azerbaijan,103
belarus,103
belgium,112
bosnia and herzegovina,124
bulgaria,112
croatia,112
cyprus,112
czech republic,112
denmark,112
estonia,112
faroe islands,112
finland,112
france,112
georgia,112
germany,112
gibraltar,112
greece,166
greenland,112
guernsey,112
hungary,112
iceland,112
ireland,112
isle of man,112
italy,112
jersey,112
kosovo,194
latvia,112
lithuania,112
liechtenstein,144
luxembourg,112
malta,112
moldova,112
monaco,15
montenegro,124
netherlands,112
north macedonia,194
north macedonia,112
northern cyprus,112
norway,113
poland,112
portugal,112
romania,112
russia,112
san marino,118
serbia,194
slovakia,155
slovenia,112
spain,112
sweden,112
switzerland,144
turkey,112
ukraine,103
united kingdom,112
vatican city,112
american samoa,911
australia,000
cook islands,998
fiji,911
french polynesia,112
guam,911
kiribati,999
marshall islands,911
micronesia,911
nauru,111
new caledonia,112
new zealand,111
palau,911
papua new guinea,111
samoa,999
solomon islands,991
tonga,911
tuvalu,911
vanuatu,112
belize,911
clipperton island,112
costa rica,911
guatemala,128
el salvador,132
honduras,195
nicaragua,128
panama,911
antigua and barbuda,911
anguilla,911
aruba,911
the bahamas,911
british virgin islands,911
cayman islands,911
cuba,104
curacao,912
dominica,999
grenada,911
guadeloupe,112
martinique,112
montserrat,911
navassa island,911
saint kitts and nevis,911
saint lucia,911
saint vincent and the grenadines,911
bonaire,911
dominican republic,911
haiti,116
puerto rico,911
trinidad and tobago,811
jamaica,110
bermuda,911
canada,911
mexico,911
saint pierre and miquelon,112
united states,911
argentina,911
bolivia,911
brazil,192
chile,131
colombia,123
ecuador,911
falkland islands,112
french guiana,112
guyana,999
paraguay,911
peru,911
south georgia and the south sandwich islands,999
suriname,115
uruguay,911
venezuela,911
